uid,max_distance_from_home,maximum_distance,max_tot,wait,distance_straight_line,sld_avg,radius_of_gyration,norm_uncorrelated_entropy,number_of_visits,nv_avg,number_of_locations,nlr,raw_home_freq,raw_work_freq,raw_least_freq,home_freq_avg,work_freq_avg,hf_tot_df,wf_tot_df,n_user_home,n_user_work,n_user_home_avg,n_user_work_avg,home_entropy,work_entropy,class
33252,19.723877048703354,19.723877048703354,0.600142865388672,0.0,19.723877048703354,0.6574625682901118,9.861941417926555,1.0,2,0.06666666666666667,2,0.00088261253309797,1,1,1,0.1,0.03333333333333333,0.09025787965616046,0.001932367149758454,175,56,0.011790544445728817,0.011790544445728817,6.6309965660493715,4.49560176265414,5
33556,12.406059917051792,12.406059917051792,0.37748198938871774,0.0,394.3540720143339,13.145135733811129,3.015689654969604,0.6650596542470142,135,4.5,23,0.010150044130626656,43,29,1,1.0333333333333334,0.9666666666666667,0.04297994269340974,0.028985507246376812,52,116,0.011790544445728817,0.011790544445728817,4.461374285757646,5.294614989876209,5
33859,4.301645792629297,4.778723886555789,0.14540331188930317,0.0,34.646314552081954,1.1548771517360652,1.0935968203872766,0.3218512131011131,56,1.8666666666666667,9,0.003971756398940865,48,1,1,0.03333333333333333,0.03333333333333333,0.0014326647564469914,0.000966183574879227,71,102,0.011790544445728817,0.011790544445728817,4.583930416448468,5.240654649010866,5
33911,6.777356273610963,6.777356273610963,0.20621615130541313,0.0,13.841056635484687,0.4613685545161562,3.024443502661845,0.9463946303571862,4,0.13333333333333333,3,0.001323918799646955,2,1,1,0.03333333333333333,0.03333333333333333,0.012893982808022923,0.000966183574879227,5,54,0.011790544445728817,0.011790544445728817,1.8676338909712122,5.101641915650987,5
34937,0.28801255204579956,0.28801255204579956,0.008763423024076964,0.0,0.28801255204579956,0.009600418401526652,0.12471309334314977,0.8112781244591328,4,0.13333333333333333,2,0.00088261253309797,3,1,1,1.4333333333333333,0.03333333333333333,0.011461318051575931,0.003864734299516908,20,47,0.011790544445728817,0.005779678649867067,3.448420804626912,4.986208685416203,3
35195,14.284783524673323,14.778032030608992,0.4496545210536231,0.0,178.09717472754934,5.936572490918311,4.202355995705996,0.6750315244181578,48,1.6,18,0.00794351279788173,26,3,1,1.6,0.1,0.0014326647564469914,0.0004830917874396135,16,32,0.011790544445728817,0.005779678649867067,2.7960100547121747,2.9920053817245877,5
35233,14.425867693556762,14.614572530992787,0.4446809019100624,0.0,177.41385377341754,5.9137951257805845,3.975963351290143,0.8488529979759663,44,1.4666666666666666,18,0.00794351279788173,13,5,1,0.06666666666666667,0.16666666666666666,0.004297994269340974,0.0024154589371980675,44,26,0.011790544445728817,0.005779678649867067,4.305054829437603,3.733570410563071,5
35468,3.5813403260541947,4.220463141408968,0.12841698600625606,0.0,47.272463614928725,1.5757487871642908,1.7890608509370085,0.8244290790990506,21,0.7,5,0.002206531332744925,9,6,1,0.1,0.2,0.03151862464183381,0.003864734299516908,1,174,0.011790544445728817,0.005779678649867067,0.0,6.3943139873182755,5
35494,5.506363907124782,4.251667964066023,0.12936646219884781,0.0,53.235310374047764,1.774510345801592,1.8658164201040572,0.8142798717401362,29,0.9666666666666667,8,0.00353045013239188,9,8,1,0.8666666666666667,0.26666666666666666,0.004297994269340974,0.003864734299516908,15,13,0.011790544445728817,0.005779678649867067,2.7284073760625787,3.152228205066607,5
35558,8.919198782685132,9.118491142867203,0.27745039116745585,0.0,119.2411428569733,3.97470476189911,2.858309712245762,0.7000215064641212,47,1.5666666666666667,10,0.00441306266548985,22,11,1,0.43333333333333335,0.36666666666666664,0.0014326647564469914,0.000966183574879227,18,12,0.011790544445728817,0.005779678649867067,3.30373928158002,2.474197033755344,5
35895,0.6632464102035242,0.6632464102035242,0.020180748444913917,0.0,0.6632464102035242,0.022108213673450804,0.33162320523694877,1.0,2,0.06666666666666667,2,0.00088261253309797,1,1,1,0.3,0.03333333333333333,0.0028653295128939827,0.000966183574879227,66,199,0.011790544445728817,0.005779678649867067,4.021501512239931,5.790648115415052,1
36548,3.7383553090657906,6.848684671010159,0.20838647657630346,0.0,483.5110516124155,16.117035053747184,1.6315740798204221,0.4872441376302786,305,10.166666666666666,17,0.007502206531332745,180,58,1,0.3,1.9333333333333333,0.0028653295128939827,0.0004830917874396135,199,89,0.011790544445728817,0.005779678649867067,5.790648115415052,5.09627774967692,5
37010,4.403990028098771,4.403990028098771,0.13400120007238062,0.0,34.75254544783543,1.1584181815945143,1.1470666426734533,0.6890189122087088,36,1.2,12,0.00529567519858782,20,3,1,0.7333333333333333,0.1,0.25806451612903225,0.000966183574879227,41,17,0.011790544445728817,0.0006935614379840481,4.012929523823727,2.9931071007658248,5
